Correlation Table - 50 periods
https://www.mataf.net
Sun, 02 Apr 2017 16:34:29 +0000
pair1,pair2,5min,1h,4h,1d
AUDCAD,AUDCAD,100,100,100,100
AUDCAD,AUDJPY,62.8,19.2,52.4,-2.9
AUDCAD,AUDNZD,58.6,17.5,45.1,92.7
AUDCAD,AUDSGD,10.8,71.9,63.3,-25.5
AUDCAD,CADCHF,-87.6,-90.7,-7.9,-66.8
AUDCAD,CADHKD,-18.4,-64.1,-33.9,-78.5
AUDCAD,CADJPY,4.8,-56,5.9,-78.1
AUDCAD,CADSGD,-52.3,-90.3,-18.3,-87.6
AUDCAD,CHFJPY,71.3,32.2,25.5,-52.4
AUDCAD,CHFZAR,47.6,-41.5,6.8,-74
AUDCAD,EURCAD,89.9,84.7,16.2,64.7
AUDCAD,EURGBP,56.6,78.7,53.3,58.7
AUDCAD,EURHUF,64.4,68,-4,-9.9
AUDCAD,EURNOK,68.2,-38,-1,65.8
AUDCAD,EURNZD,73.6,67,4.9,73.9
AUDCAD,EURSEK,-26.7,-10.3,-4.8,61.6
AUDCAD,EURSGD,63.2,65.8,12,-55.6
AUDCAD,EURTRY,57.9,76.2,44.2,-54.6
AUDCAD,EURZAR,55.1,-38.2,9.6,-69.8
AUDCAD,GBPAUD,-26.3,-85.2,-74.4,-76.4
AUDCAD,GBPCAD,17.8,-51.5,-41.1,37.3
AUDCAD,GBPCHF,-37.3,-79.7,-48.5,-58.8
AUDCAD,GBPHKD,7.6,-76.8,-64.9,-54.9
AUDCAD,GBPJPY,32.1,-62.4,-39.6,-82.3
AUDCAD,GBPNZD,19.5,-74,-70.5,65.9
AUDCAD,GBPSGD,-33.3,-79.4,-61.3,-83.8
AUDCAD,GBPUSD,5.7,-77,-63.3,-57.6
AUDCAD,GBPZAR,31.4,-52.4,-2.9,-82
AUDCAD,HKDJPY,34.1,-23.4,26.3,-29.8
AUDCAD,NZDCAD,6.3,75.5,26.8,-61.2
AUDCAD,NZDCHF,-61,-30.5,10.5,-76.8
AUDCAD,NZDHKD,-19.8,36.6,7.3,-79.2
AUDCAD,NZDJPY,20.4,12.1,41.1,-84.3
AUDCAD,NZDSGD,-60.3,22.8,14.2,-86.8
AUDCAD,NZDUSD,-22.7,37.7,8.4,-79.6
AUDCAD,SGDHKD,43.9,50.2,-12.1,70.1
AUDCAD,SGDJPY,64,-9.7,24.9,24
AUDCAD,TRYJPY,57.2,-54.5,-16.4,54.9
AUDCAD,USDCAD,20.7,63.4,33.7,79
AUDCAD,USDCNH,-15.1,18.2,11.1,62.7
AUDCAD,USDCZK,-65.6,-47.9,-9.2,1
AUDCAD,USDDKK,-65.2,-64.9,-7.8,-0.2
AUDCAD,USDHUF,-54.9,-46.8,-10.4,-4.4
AUDCAD,USDJPY,36.4,-24.4,24.8,-26.6
AUDCAD,USDMXN,78.3,-36.1,45.9,-88.6
AUDCAD,USDNOK,-58.2,-70.7,-11,76.4
AUDCAD,USDPLN,-66.6,-77.4,-1.4,-35.2
AUDCAD,USDSEK,-77.2,-69.9,-8.7,27.3
AUDCAD,USDSGD,-43.1,-52.5,10.4,-67.9
AUDCAD,USDTRY,-39.9,38.1,34.7,-61.5
AUDCAD,USDZAR,33.2,-44.9,6.5,-70.2
AUDCAD,AUDCHF,-37.8,-14.1,31.3,39.9
AUDCAD,AUDHKD,43.3,72.5,69.2,38.9
AUDCAD,AUDUSD,44.2,73.5,71.8,33.7
AUDCAD,CHFHKD,51,63.2,-4.3,-11.8
AUDCAD,EURAUD,73.7,41.7,-21.7,-22.9
AUDCAD,EURCHF,75,53.7,48.6,36.9
AUDCAD,EURCZK,-23.7,-8.8,-9.3,11.7
